english,chinese
"His green eyes arrested mine, challenging... pleading?",他的绿眼睛盯住我的，好像在挑战……又或是恳求?
"As he stated, Hunan is abundant in red tourism resources as a holy place of revolution.",他说，湖南作为革命圣地，红色资源十分丰富。
Mean: The sum of all variables divided by the number of variables.,样本均值：所有变量的总和除以变量的数量。
This year is the first time TCCGW award the scholarship to its member's children. There are 15 award-winning students from different schools who awarded the TCCGW Scholarship.,大华府台湾商会今年也首度颁发优秀学生奖学金，以鼓励青年台商子弟努力向学，共有十五位来自不同学校学生获奖。
Michael left his sickbed to entertain his house guests.,迈克尔走下病床去招待客人。
They expanded and remodeled the place and made big sculptures.,他们把那儿扩建了，还竖了很大的雕塑。
They say that money can’t buy happiness.,俗语说钱不能买来幸福。
"Honda's Business in China Boosts its Annual Production Capacity to 490,000 Vehicles by Expanding its Partnership with Dongfeng Motor Corp.",本田的业务在中国通过扩大与东风汽车公司的合作，年生产能力达到49万。
"Insulin, a hormone secreted by the pancreas, is a key ingredient in the metabolic process because it helps keep the blood-sugar level from rising abnormally.",胰岛素，一种由胰腺分泌的激素，是新陈代谢过程中一种主要的成分，因为它有助于抑制血糖浓度异常地升高。
"When we get back, she plays the toys for a long time. Then she spend less than ten minutes in conquering the song in lesson 5.",我们回来后，她玩了很久的玩具。接着她花了不到十分钟的时间就攻下了今天学习任务------第五课的歌曲。
ESB 在服务请求者和提供者之间提供松耦合，允许用一个服务实现来替换另一个，而且不会对该服务的消费者造成影响。,"Providing loose-coupling between service requestors and providers, the ESB allows for substitution of one service implementation with another, with no effect to the consumers of that service."
"Pseudo-classes classify elements on characteristics other than their name, attributes or content;",伪类除了可以在名称，属性，内容上划分元素，还可以通过特性来划分元素；
Leslie:Squogre. The sneaky foot soldiers of the DarkMaster.,松鼠怪。黑暗魔王鬼鬼祟祟的小兵。
"""We will strengthen our capacity to defeat our enemies and support our friends, "" Obama said.",他说：“我们将加强力量，战胜我们的敌人，支持我们的朋友。
Finally the wild in pain has admitted his guilt.,最后西野在痛苦中承认了自己的犯罪事实。
"""David Stern says the players are going to miss paychecks, "" Voss says, ""but the players already know that, so they take that as a threat.""",他说：“大卫•斯特恩说球员们会怀念支票的，但球员们显然明白这一点，所以他们会把这番言论视为威胁。”
"Before beginning the troubleshooting process, there are some diagnostic questions you should ask to determine whether there any obvious causes of a problem.",在开始排除故障之前，应该提出一些诊断问题，从而判断问题是否是由某些明显的原因造成的。
They are tireless in hunting for super profits.,他们不倦地追求超额利润。
"Just recently, a four-thousand-year old gravesite was found within three miles of Stonehenge.",就在最近，离巨石阵三公里以内的地方发现了一个有四千年历史的墓地。
They would tell me there weren't cripples on staff and that their customers didn't want to see a guy in a wheelchair fixing a car.,他们会告诉我那里没有员工是残疾人的，而且顾客也不希望看到一个坐轮椅的人来帮他们修车。
"Based on a mostly fertile soil with good access to fresh water, this industry has been the backbone of rural Bangladesh and could be one of the emerging sectors in the future.",大部分肥沃的土地便于取得淡水，在此基础上，农业已成为了农业国家孟加拉国的支柱产业，而且未来将成为新兴领域之一。
Xue Baochai is the most popular character in Dream of the Red Chamber. To study Xue Baochai's interpersonal relationship from the angle of psychology is of great significance.,薛宝钗是《红楼梦》中人缘最好的，从心理学角度探讨薛宝钗的人际交往具有十分重要的意义。
Her study comes as growing numbers of female celebrities openly talk about being bisexual.,这项研究的背景是越来越多的女艺人公开宣布自己是双性恋。
"The results look wonderful for the Republicans, but most soundings found that the electorate still has a slightly dimmer view of the Grand Old Party than it does of the Democrats.",选举结果看起来对共和党人而言十分不错，但是大多数的调查发现选民仍然对于共和党这个悠久伟大的党派心存一丝疑虑，反倒他们对民主党到没有这样的疑虑。
"Fan-in and Fan-out scenarios are supported through new primitives for splitting one message into multiple parts, or aggregating several messages into one.",扇入 (Fan-in) 和扇出 (Fan-out) 场景通过新的元素受到支持，这些元素将单个消息拆分为多个部分，或者将多个消息聚合为一个消息。
"We resolve to tap into APEC's considerable potential in fostering future energy cooperation initiatives, especially in the areas of energy-related trade and environmental sustainability.",我们决心挖掘亚太经合组织在发起未来能源合作倡议方面的巨大潜力，特别是在能源贸易和环境可持续性领域。
"Now Henry stops at nothing, wants Culley to devote life to again for him;",如今亨利无所不用其极，就是要卡利重新为他效命；
Heat transfer in the tail section of channel of cooling blade with pin-fin arrays;,本文应用湍流模型对涡轮叶片尾缘针肋通道的换热与流动进行了二维数值模拟研究。
"Along with global Internet popularization, network advertisements have developed vigorously and obtained status contending with traditional media advertisements.",随着互联网在全球范围内的普及，网络广告蓬勃发展，取得了与传统媒体广告相抗衡的地位。
"Therefore, ""summary"" should be the actual problems about the lack of work and the presence of.",因此“年终总结”应多讲工作中的不足和存在的实际问题。
"With prices going up so fast, we can't afford luxuries .",由于物价上涨很快，我们买不起高档商品。（原因状语）
Children jeer and their parents whisper about street dogs disappearing into cooking pots.,孩童们开始嘲笑，父母们开始窃窃私语：街上的狗怎么就到了烹饪锅里？
"Tom Ripley’s assumption of Dickie Greenleaf (Jude Law) is executed perfectly, as is the cat-and-mouse game that follows.",汤姆·雷普利将迪基·格林利（裘德·洛饰）取而代之的计划完美的上演，随后就是欲擒故纵的游戏。
